String;Band;BsbId;Seite;Link;alternativ
Abbonis bella Parisiacae urbis, ed. Paul von Winterfeld, in: MGH Poeta 4,1, Berlin 1899, S. 72-122.;MGH Poeta 4,1;;72;;http://www.mgh.de/dmgh/resolving/MGH_Poeta_4,1_S._72
Erchanberti breviarium regum Francorum, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 327-330 vollständig erst ab 741, vorher nur Auszüge;MGH SS 2;;;;http://www.mgh.de/dmgh/resolving/MGH_SS_2
Angilberti carmen de Karolo Magno, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 391-403;MGH SS 2;;391;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._391
 Karolo Magnus et Leo Papa, ed. Ernst Dümmler, in: MGH Poetae 1, Berlin 1881, S. 366-379.;MGH Poetae 1;831;366;http://www.mgh.de/dmgh/resolving/MGH_Poetae_1_S._366;
Casus S. Galli, ed. Ildefons von Arx, in: MGH SS 2, Hannover 1829, S. 59-74;MGH SS 2;;59;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._59
 Ratpert, St. Galler Klostergeschichten (Casus sancti Galli), ed. Hannes Steiner (MGH SS rer. Germ. 75), Hannover 2002.;MGH SS rer. Germ. 75;721;;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._75;
Casuum S. Galli contiuatio II, ed. Ildefons von Arx, in: MGH SS 2, Hannover 1829, S. 148-163.;MGH SS 2;;148;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._148
Casuum S. Galli contiuatio III auctore Conrado de Fabaria, ed. Ildefons von Arx, in: MGH SS 2, Hannover 1829, S. 163-183.;MGH SS 2;;163;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._163
Liber historiae Francorum, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 215-328;MGH SS rer. Merov. 2;749;215;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._215;
 ed. Bruno Krusch, in: MGH SS rer. Merov. 7, Hannover – Leipzig 1920, S. 772-775 Varianten und Verbesserungen.;MGH SS rer. Merov. 7;754;772;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._7_S._772;
Historia Daretis Frigii de origine Francorum, ed. Bruno Krusch, in: MGH SS rer. Merov. 2, Hannover 1888, S. 194-200.;MGH SS rer. Merov. 2;749;194;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Merov._2_S._194;
Vita Leobae abbatissae Bischofesheimensis auctore Rudolfo Fuldensi, ed. Georg Waitz, in: MGH SS 15,1, Hannover 1887, S. 118-131.;MGH SS 15,1;890;118;http://www.mgh.de/dmgh/resolving/MGH_SS_15,1_S._118;
Die Lebensbeschreibungen der Königin Mathilde, ed. Bernd Schütte (MGH SS rer. Germ. 66), Hannover 1994.;MGH SS rer. Germ. 66;714;;http://www.mgh.de/dmgh/resolving/MGH_SS_rer._Germ._66;
Ex vita Adalhard, ed. Georg Heinrich Pertz, in: MGH SS 2, Hannover 1829, S. 524-532 Auszüge;MGH SS 2;;524;;http://www.mgh.de/dmgh/resolving/MGH_SS_2_S._524
